region,cntyname,zip_sort,name,address,city,state,zip,phone,cert,AUTO_UNIQUE_ID_2014-05-01_delmeram_ESAPPharmacies,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPrimaryIdValue,FPostOfficeBoxNumber,FPrimaryIdField,FGeometrySRID,FPostOfficeBoxType,FPreType,FPreArticle,FPostArticle
2,NEW YORK,10021,DUANE READE,1467 1ST AVE.,NEW YORK,NY,10021,(212) 585-2108,NS000016,11,USCGeocoder,234,1,4.01,,8c60b1a7-995f-41ca-82be-fd235c579700,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1420.19430230022,LinearInterpolationAddressRange,StreetSegment,92.0118343195266,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.7706607733088,-73.9540244250901,Relaxed;Soundex,TwoThousandTen,51000,5602,35644,44919,0,35620,5000,5,0134.00,061,36,1,ResidenceStreetAddress,1467,,,,AVE,,,,,,NEW YORK,NY,10021,,,,,,,,,,,,,,,,,,1467,,,,AVE,,,,,,NEW YORK,NY,10021,,,,,,,,,,,,1467-1477,,,,Ave,,,,New York,NY,10075,,,,,,,,,,Manhattan,New York,1420.19430230022,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,634257116,,tlid,0,,,,
2,NEW YORK,10016,DUANE READE,155 E. 34TH ST.,NEW YORK,NY,10016,(212) 683-3042,NS000017,12,USCGeocoder,234,1,4.01,,53754f64-258d-4f12-85d7-a3a420b6c192,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2176.27351552248,ArealInterpolationGeometricCentroid,Parcel,99.4082840236686,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.7461846317129,-73.9785195367067,Relaxed,TwoThousandTen,51000,5602,35644,44919,0,35620,7000,7,0072.00,061,36,1,ResidenceStreetAddress,155,,E,,ST,,,,,,NEW YORK,NY,10016,,,,,,,,,,,,,,,,,,155,,E,,ST,,,,,,NEW YORK,NY,10016,,,,,,,,,,,,155,,E,,ST,,,,New York,NY,10016,,,,4766,,,,,,,,2176.27351552248,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,936034,,UniqueId,0,,,,
2,QUEENS,11377,DUANE READE,48-01 QUEENS BLVD.,WOODSIDE,NY,11377,(718) 476-8655,NS000018,13,USCGeocoder,250,1,4.01,,4dda164b-41e9-45bc-aa90-71f9f473a37e,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,40.743107,-73.906134,Exact,TwoThousandTen,51000,5602,35644,60323,0,35620,3005,3,0249.00,081,36,4,ResidenceZIP,48,,,,BLVD,,,,,,WOODSIDE,NY,11377,,,,,,,,,,,,,,,,,,48,,,,BLVD,,,,,,WOODSIDE,NY,11377,,,,,,,,,,,,,,,,,,,,Woodside,NY,11377,,,,,,,,,,,Queens,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,11377,,ZIPCode,0,,,,
2,KINGS,11208,DUANE READE,1181 LIBERTY AVE.,BROOKLYN,NY,11208,(718) 277-1580,NS000019,14,USCGeocoder,156,1,4.01,,aaad6f7e-aedf-4335-877b-959ecd924f41,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,952.993309915066,ArealInterpolationGeometricCentroid,Parcel,98.4023668639053,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.6791191511988,-73.8656974913393,Relaxed,TwoThousandTen,51000,5602,35644,10022,0,35620,2000,2,1188.00,047,36,1,ResidenceStreetAddress,1181,,,,AVE,,,,,,BROOKLYN,NY,11208,,,,,,,,,,,,,,,,,,1181,,,,AVE,,,,,,BROOKLYN,NY,11208,,,,,,,,,,,,1181,,,,AVE,,,,New York,NY,11208,,,,3308,,,,,,,,952.993309915066,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,921121,,UniqueId,0,,,,
2,NEW YORK,10027,DUANE READE,1290 AMSTERDAM AVE.,NEW YORK,NY,10027,(212) 665-8966,NS000023,15,USCGeocoder,109,1,4.01,,47f27657-2c0b-448f-bbf3-d7f14f0d5627,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1621.76886845962,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.8117462655104,-73.9575673951353,Exact,TwoThousandTen,51000,5602,35644,44919,0,35620,6000,6,0211.00,061,36,1,ResidenceStreetAddress,1290,,,,AVE,,,,,,NEW YORK,NY,10027,,,,,,,,,,,,,,,,,,1290,,,,AVE,,,,,,NEW YORK,NY,10027,,,,,,,,,,,,1278-1292,,,,Ave,,,,New York,NY,10027,,,,,,,,,,Manhattan,New York,1621.76886845962,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,610217406,,tlid,0,,,,
2,QUEENS,11385,DUANE READE,57-11 MYRTLE AVE.,RIDGEWOOD,NY,11385,(718) 456-2602,NS000025,16,USCGeocoder,218,1,4.01,,74a98547-5868-48fb-a107-bfba3eba4d70,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,40.70286,-73.87974,Exact,TwoThousandTen,51000,5602,35644,60323,0,35620,2000,2,0625.00,081,36,4,ResidenceZIP,57,,,,AVE,,,,,,RIDGEWOOD,NY,11385,,,,,,,,,,,,,,,,,,57,,,,AVE,,,,,,RIDGEWOOD,NY,11385,,,,,,,,,,,,,,,,,,,,Ridgewood,NY,11385,,,,,,,,,,,Queens,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,11385,,ZIPCode,0,,,,
2,NEW YORK,10029,DUANE READE,2108 3RD AVE.,NEW YORK,NY,10029,(212) 987-1372,NS000026,17,USCGeocoder,296,1,4.01,,b9c39d5f-3b75-4ec4-81cb-0154f7b39212,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,203.986520126462,ArealInterpolationGeometricCentroid,Parcel,99.4082840236686,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.7977961995137,-73.9405731119978,Relaxed,TwoThousandTen,51000,5602,35644,44919,0,35620,3003,3,0182.00,061,36,1,ResidenceStreetAddress,2108,,,,AVE,,,,,,NEW YORK,NY,10029,,,,,,,,,,,,,,,,,,2108,,,,AVE,,,,,,NEW YORK,NY,10029,,,,,,,,,,,,2108,,,,AVE,,,,New York,NY,10029,,,,2103,,,,,,,,203.986520126462,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,955658,,UniqueId,0,,,,
2,NEW YORK,10023,DUANE READE,4 AMSTERDAM AVE.,NEW YORK,NY,10023,(212) 581-5527,NS000027,18,USCGeocoder,172,1,4.01,,b0f98fc0-e559-49cb-8149-76293ba20699,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,723.926354496507,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.7706026917826,-73.9875882496669,Exact,TwoThousandTen,51000,5602,35644,44919,0,35620,1001,1,0147.00,061,36,1,ResidenceStreetAddress,4,,,,AVE,,,,,,NEW YORK,NY,10023,,,,,,,,,,,,,,,,,,4,,,,AVE,,,,,,NEW YORK,NY,10023,,,,,,,,,,,,2-4,,,,Ave,,,,New York,NY,10023,,,,,,,,,,Manhattan,New York,723.926354496507,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,634257081,,tlid,0,,,,
2,KINGS,11226,DUANE READE,724 FLATBUSH AVE.,BROOKLYN,NY,11226,(718) 284-4221,NS000030,19,USCGeocoder,234,1,4.01,,05cd0c72-499b-40bb-a8f2-ac06bc55e072,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,641.467399887741,ArealInterpolationGeometricCentroid,Parcel,98.4023668639053,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.655298923919,-73.960317348312,Relaxed,TwoThousandTen,51000,5602,35644,10022,0,35620,1000,1,0508.03,047,36,1,ResidenceStreetAddress,724,,,,AVE,,,,,,BROOKLYN,NY,11226,,,,,,,,,,,,,,,,,,724,,,,AVE,,,,,,BROOKLYN,NY,11226,,,,,,,,,,,,724,,,,AVE,,,,New York,NY,11226,,,,1404,,,,,,,,641.467399887741,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,723179,,UniqueId,0,,,,
2,NEW YORK,10001,DUANE READE,322 8TH AVE.,NEW YORK,NY,10001,(212) 255-5025,NS000032,20,USCGeocoder,203,1,4.01,,187661c3-c811-4c71-b5e1-3d2c7cc08090,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,899.137059857603,ArealInterpolationGeometricCentroid,Parcel,99.4082840236686,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.7471925289816,-73.9965759740192,Relaxed,TwoThousandTen,51000,5602,35644,44919,0,35620,2003,2,0095.00,061,36,1,ResidenceStreetAddress,322,,,,AVE,,,,,,NEW YORK,NY,10001,,,,,,,,,,,,,,,,,,322,,,,AVE,,,,,,NEW YORK,NY,10001,,,,,,,,,,,,322,,,,AVE,,,,New York,NY,10001,,,,8001,,,,,,,,899.137059857603,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,934460,,UniqueId,0,,,,
2,QUEENS,11377,DUANE READE,60-02 ROOSEVELT AVE.,WOODSIDE,NY,11377,(718) 476-8379,NS000033,21,USCGeocoder,31,1,4.01,,1295ffc1-ddd4-421b-919e-176123aa7afa,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,40.743107,-73.906134,Exact,TwoThousandTen,51000,5602,35644,60323,0,35620,3005,3,0249.00,081,36,4,ResidenceZIP,60,,,,AVE,,,,,,WOODSIDE,NY,11377,,,,,,,,,,,,,,,,,,60,,,,AVE,,,,,,WOODSIDE,NY,11377,,,,,,,,,,,,,,,,,,,,Woodside,NY,11377,,,,,,,,,,,Queens,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,11377,,ZIPCode,0,,,,
2,QUEENS,11435,DUANE READE,93-01 SUTPHIN BLVD .,JAMAICA,NY,11435,(718) 558-0028,NS000034,22,USCGeocoder,281,1,4.01,,4d552512-a611-4c21-bef2-2534e056d77c,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,40.699477,-73.808819,Exact,TwoThousandTen,51000,5602,35644,60323,0,35620,1001,1,0208.00,081,36,4,ResidenceZIP,93,,,,BLVD,,,,,,JAMAICA,NY,11435,,,,,,,,,,,,,,,,,,93,,,,BLVD,,,,,,JAMAICA,NY,11435,,,,,,,,,,,,,,,,,,,,Jamaica,NY,11435,,,,,,,,,,,Queens,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,11435,,ZIPCode,0,,,,
2,NEW YORK,10033,DUANE READE,617 W. 181ST ST.,NEW YORK,NY,10033,(212) 923-6912,NS000035,23,USCGeocoder,125,1,4.01,,143f9eb4-671c-40e1-9159-9f6c613f2bc0,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1114.81792041659,ArealInterpolationGeometricCentroid,Parcel,99.4082840236686,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.8499240091238,-73.9345057669139,Relaxed,TwoThousandTen,51000,5602,35644,44919,0,35620,2002,2,0271.00,061,36,1,ResidenceStreetAddress,617,,W,,ST,,,,,,NEW YORK,NY,10033,,,,,,,,,,,,,,,,,,617,,W,,ST,,,,,,NEW YORK,NY,10033,,,,,,,,,,,,617,,W,,ST,,,,New York,NY,10033,,,,4937,,,,,,,,1114.81792041659,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,971093,,UniqueId,0,,,,
2,NEW YORK,10128,DUANE READE,1231 MADISON  AVE.,NEW YORK,NY,10128,(212) 360-6586,NS000036,24,USCGeocoder,250,1,4.01,,64fcfbbe-667f-48ea-8de5-96e23ea3bd87,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,164.238549426198,ArealInterpolationGeometricCentroid,Parcel,91.3609467455621,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.6945494639307,-73.9139354153385,Relaxed,TwoThousandTen,51000,5602,35644,10022,0,35620,3002,3,0435.00,047,36,1,ResidenceStreetAddress,1231,,,,AVE,,,,,,NEW YORK,NY,10128,,,,,,,,,,,,,,,,,,1231,,,,AVE,,,,,,NEW YORK,NY,10128,,,,,,,,,,,,1231,,,,ST,,,,New York,NY,11221,,,,5010,,,,,,,,164.238549426198,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,698185,,UniqueId,0,,,,
